id,pkg,github,split,file,qualname,rule_first,ver_first,ver_last,n_versions_observed,label,days_span,fixed_ver_before,fixed_ver_after,signals_added,attribution_status,attributed_pr,attributed_commit_url,commits_in_window
deepteam:0.2.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/leakage_rate/leakage_rate.py:LeakageRateMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/leakage_rate/leakage_rate.py,LeakageRateMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/manipulation_assessment/manipulation_assessment.py:ManipulationAssessmentMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/manipulation_assessment/manipulation_assessment.py,ManipulationAssessmentMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/misinterpretation/misinterpretation.py:MisinterpretationMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/misinterpretation/misinterpretation.py,MisinterpretationMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.2.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric._a_evaluate:1bf122185a1f78f7,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric._a_evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric.a_generate_purpose:53e294f9e79441ec,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric.a_generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric.evaluate:062fa2a202e11736,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric.evaluate,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.2.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric.generate_purpose:8f5a465d08cdcc29,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric.generate_purpose,,0.2.7,1.0.9,4,SURVIVED,303.2,,,,,,,
deepteam:0.1.7:metrics/agentic/poisoning_assessment/poisoning_assessment.py:PoisoningAssessmentMetric.is_successful:0245c88b4c5cc5a1,deepteam,confident-ai/deepteam,held-out,metrics/agentic/poisoning_assessment/poisoning_assessment.py,PoisoningAssessmentMetric.is_successful,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
deepteam:0.1.7:metrics/agentic/subversion_success/subversion_success.py:SubversionSuccessMetric.__init__:34d4e675ec36b4ed,deepteam,confident-ai/deepteam,held-out,metrics/agentic/subversion_success/subversion_success.py,SubversionSuccessMetric.__init__,silent-fallback,0.1.7,1.0.9,6,SURVIVED,406.5,,,,,,,
